θ	M1	β	M2	P2/P1
5.0	1.5	47.89	1.33	1.278
5.0	2.0	34.30	1.82	1.315
5.0	2.5	27.42	2.29	1.380
5.0	3.0	23.13	2.75	1.454
5.0	3.5	20.18	3.20	1.534
5.0	4.0	18.02	3.64	1.620
5.0	4.5	16.37	4.07	1.710
5.0	5.0	15.07	4.49	1.806
5.0	5.5	14.02	4.91	1.906
5.0	6.0	13.16	5.32	2.010
5.0	6.5	12.44	5.71	2.120
5.0	7.0	11.82	6.11	2.234
5.0	7.5	11.30	6.49	2.353
5.0	8.0	10.85	6.86	2.477
5.0	8.5	10.45	7.23	2.606
5.0	9.0	10.10	7.59	2.740
5.0	9.5	9.79	7.94	2.880
5.0	10.0	9.52	8.29	3.024
5.0	10.5	9.27	8.62	3.174
5.0	11.0	9.05	8.95	3.329
5.0	11.5	8.86	9.27	3.490
5.0	12.0	8.68	9.58	3.656
5.0	12.5	8.51	9.89	3.827
5.0	13.0	8.36	10.18	4.004
5.0	13.5	8.23	10.47	4.187
5.0	14.0	8.10	10.75	4.376
5.0	14.5	7.99	11.03	4.570
5.0	15.0	7.88	11.29	4.770
5.0	15.5	7.78	11.56	4.976
5.0	16.0	7.69	11.81	5.187
5.0	16.5	7.61	12.06	5.404
5.0	17.0	7.53	12.30	5.627
5.0	17.5	7.46	12.53	5.856
5.0	18.0	7.39	12.76	6.091
5.0	18.5	7.33	12.98	6.332
5.0	19.0	7.27	13.19	6.579
5.0	19.5	7.22	13.40	6.832
5.0	20.0	7.16	13.60	7.091
5.0	20.5	7.12	13.80	7.356
